co_despesa;co_unidade_demandante;dt_pagamento;vr_total;observacao;matricula_usuario_inclusao;created_at;updated_at
12;7004;20211129;350,00;;	C128927	;;
19;7004	;	2021-11-29	;350,00;;	C128927	;2024-03-21 18:13:35.443000000;
21;7004	;	2021-11-29	;900,00;;	C128927	;2024-03-21 18:13:35.443000000;
22;7004	;	2021-11-29	;500,00;;	C128927	;2024-03-21 18:13:35.443000000;
24;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
25;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
26;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
27;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
28;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
29;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
30;7077	;	2021-08-30	;350,00;;	C128927	;2024-03-21 18:13:35.443000000;
31;7077	;	2021-08-30	;350,00;;	C128927	;2024-03-21 18:13:35.443000000;
32;7077	;	2021-08-30	;350,00;;	C128927	;2024-03-21 18:13:35.443000000;
33;7077	;	2021-08-30	;350,00;;	C128927	;2024-03-21 18:13:35.443000000;
34;7004	;	2021-12-09	;500,00;;	C128927	;2024-03-21 18:13:35.443000000;
35;7004	;	2021-12-09	;350,00;;	C128927	;2024-03-21 18:13:35.443000000;
36;7004	;	2021-12-09	;150,00;;	C128927	;2024-03-21 18:13:35.443000000;
37;7004	;	2021-12-27	;250,00;;	C128927	;2024-03-21 18:13:35.443000000;
38;7004	;	2021-12-27	;250,00;	teste                     ;	C128927	;2024-03-21 18:13:35.443000000;
39;7096	;	2021-12-13	;5000,00;;	C072040	;2024-03-21 18:13:35.443000000;
40;7096	;	2021-12-13	;5000,00;;	C072040	;2024-03-21 18:13:35.443000000;
41;7004	;	2022-12-28	;1000,00;;	C128927	;2024-03-21 18:13:35.443000000;
42;7004	;	2022-12-28	;5000,00;;	C128927	;2024-03-21 18:13:35.443000000;
43;7096	;	2021-12-25	;500,00;;	C128927	;2024-03-21 18:13:35.443000000;
44;7096	;	2021-12-25	;1000,00;;	C128927	;2024-03-21 18:13:35.443000000;
45;7004	;	2021-12-20	;5000,00;;	C128927	;2024-03-21 18:13:35.443000000;
46;7004	;	2021-12-20	;5000,00;;	C128927	;2024-03-21 18:13:35.443000000;
47;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
48;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
49;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
50;7077	;	2021-08-30	;350,00;	Último contrato 672470028078;	C128927	;2024-03-21 18:13:35.443000000;
51;7096	;	2022-01-28	;5661,16;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
52;7096	;	2022-01-28	;3706,09;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
53;7096	;	2022-01-28	;5542,46;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
54;7096	;	2022-01-28	;5314,38;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
55;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
56;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
57;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
58;7096	;	2022-01-28	;5369,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
59;7096	;	2022-01-28	;5589,93;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
60;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
61;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
62;7096	;	2022-01-28	;4872,08;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
63;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
64;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
65;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
66;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
67;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
68;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
69;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
70;7096	;	2022-01-28	;5361,85;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
71;7096	;	2022-01-28	;4224,32;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
72;7096	;	2022-01-28	;5361,85;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
73;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
74;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
75;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
76;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
77;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
78;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
79;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
80;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
81;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
82;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
83;7096	;	2022-01-28	;5539,10;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
84;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
85;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
86;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
87;7096	;	2022-01-28	;5620,22;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
88;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
89;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
90;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
91;7096	;	2022-01-28	;5258,67;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
92;7096	;	2022-01-28	;5258,67;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
93;7096	;	2022-01-28	;4443,29;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
94;7096	;	2022-01-28	;4966,33;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
95;7096	;	2022-01-28	;5563,37;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
96;7096	;	2022-01-28	;5622,86;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
97;7096	;	2022-01-28	;5173,26;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
98;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
99;7096	;	2022-01-28	;5304,92;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
100;7096	;	2022-01-28	;5651,70;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
101;7096	;	2022-01-28	;5176,05;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
102;7096	;	2022-01-28	;5299,80;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
103;7096	;	2022-01-28	;4980,89;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
104;7096	;	2022-01-28	;3706,09;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
105;7096	;	2022-01-28	;3706,09;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
106;7096	;	2022-01-28	;4391,96;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
107;7096	;	2022-01-28	;5641,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
108;7096	;	2022-01-28	;5458,44;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
109;7096	;	2022-01-28	;4987,69;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
110;7096	;	2022-01-28	;5104,44;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
111;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
112;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
113;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
114;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
115;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
116;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
117;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
118;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
122;2884;11-05-1999;300,00;obs;Du;;
123;2889;11-05-1999;77,00;ok;Du;;
124;2889;11-05-1999;88888,00;ok;Du;;
125;4985;11-05-1999;547,00;ok;Du;;
126;4985;11-05-1999;547,00;ok;Du;;
127;2447;11-05-2222;547,00;ok;Du;;
128;2447;11-05-2222;547,00;ok;Du;;
129;7004;2021-11-29;350,00;vaiiiiiii;Du;;
130;7004;20211129;350,00;vaiiiii;Du;;
